#Ejercicio,Org.,Econ.,Denominació (cat),Previsiones Iniciales,Modificaciones de previsiones,Previsiones Definitivas,Derechos reconocidos
2022,,870101 ,ROMANENT TRESORERIA AFECTADA AL PATRIMONI MPAL SÒL,0,107345.25,107345.25,0
2022,,870100 ,ROMANENT TRESORERIA DESPESES FINANÇAMET AFECTAT   ,0,700327.93,700327.93,0
2022,,112    ,IMPOST BÉNS IMMOBLES RÚSTICS                      ,9000,0,9000,9832.27
2022,,113    ,IMPOST BÉNS IMMOBLES DE NATURALESA URBANA         ,18700000,0,18700000,18662805.39
2022,,114    ,IMPOST BÉNS IMMOBLES CARACTERÍSTIQUES ESPECIALS   ,38934987,0,38934987,36784142.72
2022,,115    ,IMPOST VEHICLES TRACCIÓ MECÀNICA                  ,2799745,0,2799745,2870171.11
2022,,116    ,IMPOST INCREMENT VALOR DEL TERRENYS               ,1,0,1,828393.97
2022,,130    ,IMPOST ACTIVITATS ECONÒMIQUES                     ,7328165,0,7328165,692564.84
2022,,290    ,"IMPOST CONSTRUCCIONS,INSTAL-LACIONS I OBRES       ",2000000,0,2000000,392393.79
2022,,302    ,TAXA RECOLLIDA BROSSA COMERCIAL                   ,60000,0,60000,0
2022,,30901  ,VIGILÀNCIA ESPECIAL                               ,4271,0,4271,5778.5
2022,,311    ,RESIDÈNCIA D'AVIS                                 ,166000,0,166000,78513.75
2022,,31101  ,TAXA PRESTACIO SERVEIS SOCIALS                    ,123000,0,123000,57400.14
2022,,312    ,ESCOLA BRESSOL                                    ,156000,0,156000,99650.09
2022,,31301  ,CURSETS I ACTIVITATS ESPORTIVES                   ,160000,0,160000,93825.37
2022,,31302  ,INSTAL.LACIONS ESPORTIVES                         ,30000,0,30000,9701.82
2022,,31303  ,SERVEIS ESPORTIUS                                 ,1750000,0,1750000,804521.05
2022,,31905  ,CONTROL SANITARI GOSSOS                           ,37450,0,37450,45345.28
2022,,321    ,TAXA LLICÈNCIES D'OBRES                           ,850000,0,850000,165931.01
2022,,323    ,TAXA PERMISOS AMBIENTALS                          ,288809,0,288809,142017.68
2022,,325    ,EXPEDICIÓ DE DOCUMENTS                            ,22868,0,22868,14323.65
2022,,326    ,RETIRADA DE VEHICLES                              ,80800,0,80800,110579.9
2022,,32901  ,MERCAT MUNICIPAL                                  ,28924,0,28924,13539.25
2022,,32902  ,CONTROL SANITARI D'ESTABLIMENTS                   ,1220,0,1220,122
2022,,32903  ,ALTRES TAXES REALITZACIO ACT COMPETENCIA LOCAL    ,50000,0,50000,0
2022,,331    ,TAXES GUALS                                       ,600000,0,600000,651061.43
2022,,332    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP SUBMINISTRA,833850,0,833850,967165.87
2022,,333    ,UTILITZACIO PRIVATIVA/APROFITAMENT EMP TELECOMUNIC,16700,0,16700,137621.56
2022,,335    ,TAXES VETLLADORS I CADIRES                        ,30369,0,30369,93089.38
2022,,338    ,TAXA COMPENSACIÓ TELEFÒNICA ESPAÑA                ,151257,0,151257,95207.69
2022,,339    ,ALTRES UTILITZACIONS PRIVATIVES DEL DOMINI PUBLIC ,185017,0,185017,168626.43
2022,,33901  ,TAXES QUIOSCOS                                    ,9644,0,9644,68853.8
2022,,33902  ,TAXES PARADES A LA VIA PÚBLICA                    ,19653,0,19653,2278
2022,,34901  ,HORTS LÚDICS                                      ,20000,0,20000,16677.34
2022,,34902  ,SERVEIS CULTURALS                                 ,6,0,6,0
2022,,34903  ,SERVEIS CULTURALS TEATRE MODERN                   ,6,4603.5,4609.5,4603.5
2022,,34904  ,SERVEIS PROMOCIO ECONOMICA                        ,14200,0,14200,1356.53
2022,,34905  ,SERVEIS/ACTIVITATS MEDI AMBIENT (ACTIVITATS)      ,38000,0,38000,15145.46
2022,,34906  ,SERVEIS CULTURALS TEATRE ARTESÀ                   ,6,61025.87,61031.87,60941.87
2022,,36000  ,VENDA MATERIAL REBUTJABLE                         ,49000,0,49000,16944
2022,,36001  ,VENDA DE PUBLICACIONS                             ,100,0,100,18
2022,,36002  ,VENDA D'ELECTRICITAT                              ,40000,0,40000,10509.32
2022,,36003  ,"PRESTACIO SERVEIS MEDI AMBIENT (PAPER, VIDRE, CART",425000,0,425000,279856.21
2022,,36004  ,VENDA ELECTRICITAT FOTOVOLTAIQUES AMB CONVENI     ,1,0,1,0
2022,,389    ,REINTEGRAMENTS PRESSUPOSTOS TANCATS               ,5000,0,5000,99931.93
2022,,38901  ,REINTEGRAMENTS ANUNCIS                            ,5000,0,5000,0
2022,,39100  ,MULTES INFRACCIONS URBANISTIQUES                  ,63592,0,63592,300
2022,,39120  ,MULTES CIRCULACIÓ                                 ,475250,0,475250,476200
2022,,39190  ,ALTRES MULTES I SANCIONS                          ,50000,0,50000,92215.85
2022,,39200  ,RECÀRREC DECLARACIO EXTEMPORANEA                  ,369,0,369,19987.76
2022,,39211  ,RECÀRREC CONSTRENYIMENT                           ,42957,0,42957,25537.95
2022,,393    ,INTERESSOS DE DEMORA                              ,62332,0,62332,46879.85
2022,,398    ,INDEMNITZACIONS D'ASSEGURANCES NO VIDA            ,28092,0,28092,56870.63
2022,,399    ,ALTRES INGRESOS DIVERSOS                          ,78500,0,78500,20682.91
2022,,39901  ,ALTRES INGRESOS EXECUCIONS SUBSIDIÀRIES           ,6,0,6,5841.78
2022,,42000  ,PARTICIPACIÓ EN TRIBUTS DE L'ESTAT                ,15918634,0,15918634,9079090.99
2022,,42090  ,ALTRES TRANSFERÈNCIES CORRENTS DE L'AGE           ,1000,0,1000,0
2022,,441    ,TRANSFERÈNCIES D'EMPRESES ENTITAT LOCAL           ,6,0,6,0
2022,,45000  ,FONS COOPERACIÓ LOCAL CATALUNYA                   ,390409,0,390409,0
2022,,45001  ,ALTRES TRANSFERÈNCIES DE LA GENERALITAT           ,86429,0,86429,269018.68
2022,,45002  ,SUBV. GENERALITAT SERVEIS SOCIALS/IGUALTAT        ,1949747,0,1949747,220122.5
2022,,45003  ,SUBV. GENERALITAT ACCIO SOCIAL - SAD DEPENDÈNCIA  ,1110000,0,1110000,257191.94
2022,,45004  ,SUBV. GENERALITAT ACCIO SOCIAL - SUPORT SOCIAL    ,81259,0,81259,4322.9
2022,,45005  ,SUBV. GENERALITAT ACCIO SOCIAL - SERVEI ATENCIO DO,54082,0,54082,0
2022,,45006  ,SUBV. GENERALITAT ACCIO SOCIAL - ATENCIÓ PERS SENS,20000,0,20000,0
2022,,45030  ,SUBV. GENERALITAT EDUCACIÓ                        ,931473,0,931473,294055.79
2022,,45050  ,SUBV. GENERALITAT OCUPACIÓ-DESENVOLUPAMENT LOCAL  ,6,361848.23,361854.23,1049991.77
2022,,450802 ,SUBVENCIONS GENERALITAT CULTURA-JOVENTUT          ,258498,0,258498,345952.35
2022,,450803 ,SUBVENCIONS GENERALITAT TURISME                   ,64187,0,64187,0
2022,,45300  ,"SUBV.SOCIETATS, ENS PÚBLICS I ALTRES DEPENENTS CCA",6,0,6,0
2022,,46100  ,SUBVENCIONS DIPUTACIO                             ,569492,0,569492,68465.07
2022,,46101  ,SUBV. DIPUTACIÓ FORMACIÓ-OCUPACIÓ                 ,6,242411.38,242417.38,290278.95
2022,,46102  ,SUBV. DIPUTACIÓ SERVEIS SOCIALS                   ,481802,0,481802,715834.29
2022,,46103  ,SUBV. DIPUTACIÓ EDUCACIÓ                          ,102828,0,102828,139153.98
2022,,46104  ,SUBV. DIPUTACIÓ ESPORTS                           ,30041,0,30041,47728.9
2022,,46105  ,SUBV. DIPUTACIÓ SALUT PUBLICA                     ,156302,0,156302,120394
2022,,46106  ,"SUBV. DIPUTACIÓ, CULTURA-JOVENTUT                 ",52493,0,52493,22242.19
2022,,46107  ,SUBV. DIPUTACIÓ MEDI AMBIENT                      ,6,0,6,0
2022,,46108  ,"SUBV. DIPUTACIÓ CONVIVÈNCIA, CIVISME, COOP, FEMINI",88120,0,88120,0
2022,,46109  ,SUBV DIPUTACIÓ PROGRAMA COMPLEMENTARI SUPORT      ,6,0,6,0
2022,,462    ,TRANSFERENCIES CORRENTS D'AJUNTAMENTS             ,6,0,6,0
2022,,4641   ,TRANSF CORRENTS D'ÀREA METROPOLITANA FORMACIÓ-OCUP,6,153716,153722,0
2022,,4642   ,TRANSF CORRENTS D'ÀREA METROPOLITANA COHESIÓ SOCIA,217417,0,217417,131258.5
2022,,4643   ,ALTRES TRANSFERÈNCIES CORRENTS D'ÀREA METROPOLITAN,6,54215,54221,311367.93
2022,,4644   ,TRANSF CORRENTS D'ÀREA METROPOLITANA PLA DE BARRIS,6,0,6,0
2022,,465    ,TRANSFERENCIES CORRENTS ENS COMARCALS             ,55000,48840,103840,98340
2022,,467    ,TRANSFERENCIES CORRENTS DE CONSORCIS              ,15000,0,15000,13430.57
2022,,470    ,SUBVENCIONS D'EMPRESES                            ,5000,0,5000,0
2022,,480    ,SUBVENCIONS FORMACIÓ I OCUPACIÓ                   ,6,41926.97,41932.97,41926.97
2022,,481    ,SUBVENCIONS INSTITUC I FAMIL SENSE ÀNIM DE LUCRE  ,6,0,6,3367
2022,,491    ,TRANSFERENCIA FONS EUROPEU MOVES                  ,41000,0,41000,0
2022,,514    ,INTERESSOS DE SOCIETATS MERCANTILS                ,172542,0,172542,0
2022,,52     ,INTERESSOS DE DIPÓSITS                            ,6,0,6,0
2022,,541    ,PRODUCTE ARRENDAMENTS IMMOBLES                    ,116000,0,116000,91222.48
2022,,550    ,CONCESSIONS ADMINISTRATIVES                       ,270000,0,270000,234355.57
2022,,559    ,ALTRES CONCESSIONS I APROFITAMENTS                ,16330,0,16330,28415.48
2022,,75030  ,TRANSF CAPITALGENERALITAT DE CATALUNYA-ENSENYAMENT,521620,0,521620,0
2022,,751    ,TRANSFERÈNCIA DE CAPITAL AGENCIA CATALANA DE L'AIG,496114,0,496114,34282.72
2022,,761    ,TRANSF CAPITAL DIPUTACIÓ DE BARCELONA             ,2480693,0,2480693,695377.04
